Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
9/30/2014,Uluru,20.3,37.1,0,NA,NA,SSE,39,ESE,SW,17,19,14,9,1015.8,1012.7,NA,NA,27.7,35.3,No,No
10/1/2014,Uluru,20,32.6,0,NA,NA,E,52,ESE,E,30,28,28,15,1022.1,1016.7,2,NA,23.6,31.9,No,No
10/2/2014,Uluru,18,33.8,0,NA,NA,E,44,E,ENE,30,22,23,10,1020.3,1014.6,NA,NA,22.1,32.7,No,No
10/3/2014,Uluru,15.5,36.5,0,NA,NA,WNW,56,E,NW,24,17,16,10,1015.6,1010.1,NA,NA,23.8,35.6,No,No
10/4/2014,Uluru,23.1,37.4,0,NA,NA,SSE,41,E,SE,4,7,18,12,1014.4,1009.7,NA,6,29.6,37,No,No
10/5/2014,Uluru,19.5,39.2,0,NA,NA,N,48,NE,N,24,28,11,8,1012.7,1007.7,NA,1,30.2,37.6,No,No
10/6/2014,Uluru,19.9,38.3,0,NA,NA,S,50,NW,SW,33,22,12,8,1009.7,1008.4,1,NA,32.2,36.3,No,No
10/7/2014,Uluru,15.5,30.3,0,NA,NA,ESE,48,ESE,E,31,26,28,16,1018.1,1014.4,NA,NA,21.4,28.8,No,No
10/8/2014,Uluru,15.1,33.2,0,NA,NA,E,50,E,ENE,33,11,21,11,1019.1,1014,NA,NA,21.7,31.7,No,No
10/9/2014,Uluru,13.8,37.2,0,NA,NA,SW,35,E,SSE,20,7,13,7,1016.7,1011,NA,NA,25,35.4,No,No
10/10/2014,Uluru,16.4,34.1,0,NA,NA,S,43,S,SSW,24,13,27,8,1014.7,1010.2,NA,NA,23.5,32.8,No,No
10/11/2014,Uluru,12.1,31.7,0,NA,NA,SE,30,ESE,NE,17,9,30,13,1016.2,1010.4,NA,NA,21.6,30.4,No,No
10/12/2014,Uluru,11.9,33.9,0,NA,NA,SSW,37,ESE,ESE,19,11,12,6,1013.4,1009.4,NA,NA,25.7,31.6,No,No
10/13/2014,Uluru,12.9,30.7,0,NA,NA,SE,48,SE,SE,22,17,30,16,1017.3,1015.8,NA,2,21.8,30.2,No,No
10/14/2014,Uluru,15.6,27.9,0,NA,NA,E,48,E,E,30,17,22,8,1023.5,1018.7,4,NA,18.2,26.1,No,No
10/15/2014,Uluru,10,29.4,0,NA,NA,ENE,41,E,E,26,7,17,8,1022,1017.3,NA,NA,19.7,27.8,No,No
10/16/2014,Uluru,8.4,32.6,0,NA,NA,NE,39,ENE,ESE,20,15,10,6,1020.7,1015.3,NA,NA,21.6,30.4,No,No
10/17/2014,Uluru,9.7,33,0,NA,NA,E,39,NE,NE,26,15,9,5,1020.2,1015.1,NA,NA,23.2,31.1,No,No
10/18/2014,Uluru,10.8,35.2,0,NA,NA,NE,43,ENE,ENE,13,17,8,4,1018.9,1013.9,NA,NA,25.2,34.6,No,No
10/19/2014,Uluru,9,37.4,0,NA,NA,NNW,48,NNE,N,15,17,6,3,1017.1,1012.9,NA,NA,27.3,35.7,No,No
